p_title,p_name,p_price,p_detail,p_publisher,p_regdate,p_file,t_no
스위프트 프로그래밍,야곰,"28,800 ","문법을 넘어 프로그래밍 패러다임도 익히는 스위프트 5

스위프트 5의 핵심 키워드는 ‘안정화’다. ABI 안정화 덕분에 버전과 환경에 크게 영향받지 않고 더 유연하게 스위프트를 사용할 수 있게 되었다. 최신 패러다임과 다양한 언어의 기능을 흡수하여 언어 전반에 걸쳐 안정화되었다. 기존 스위프트 업데이트의 주된 목적이 새로운 기능 추가였다면, 이번 스위프트 5는 비약적으로 발전한 기능을 세세하게 보정하고 다듬었다. 그렇다고 굵직한 변화가 없는 것은 아니다. 스위프트 언어의 발전은 여전히 현재 진행형이다.

스위프트 프로그래밍 핵심 패러다임 기반으로 설명

스위프트에는 함수형과 프로토콜 지향 프로그래밍 기법이 포함되어 있다. 이 책은 이 두 가지 패러다임에 맞춰 스위프트로 프로그래밍하는 방법을 설명한다. 스위프트 문법과 프로그래밍 패러다임을 함께 이 해하고 싶다면 이 책은 큰 도움이 될 것이다.",한빛미디어,2019-10-01,swift.jpg,1
개발자의 글쓰기,김철수,"16,200 ","오직 개발자를 위한 글쓰기의 모든 것을 담았다!

이 책은 개발자의 글쓰기 능력을 종합적으로 향상하기 위한 책이다. 코드 안에서는 함수와 변수 이름을 짓는 것부터 주석 쓰는 법, 에러 메시지 쓰는 법까지 알려준다. 코드 밖에서는 릴리스 노트, 장애 보고서, 개발 가이드를 어떻게 하면 잘 쓸 수 있는지를 알려준다. 외주 개발을 하는 개발자를 위해 SI 제안서의 기술 부문을 설득력 있게 쓰는 법도 놓치지 않았다. 블로그를 운영하려는 개발자나 IT기업을 위해 기술 블로그를 쓰는 법과 운영하는 팁도 담았다.",위키북스,2019-10-04,write.jpg,1
오라클 기술과 블록체인,로버트 반 뫼켄,"40,500 ","오라클 기술과 솔루션 기반으로 블록체인 이해하고 구축하기

블록체인의 의미와 구성 요소를 알아보고, 실제로 사용할 수 있는 블록체인 플랫폼은 어떤 모습이고 어떤 차이점이 존재하는지 설명한다. 또한 오라클의 블록체인 클라우드 서비스를 활용해 실제로 블록체인 서비스를 구축하는 과정을 자세히 설명한다. 마지막으로 블록체인 기술이 다양한 산업 고객의 업무와 비즈니스에 어떠한 영향을 미치고 있는지, 앞으로 어떠한 변화를 가져올지를 다룬다.",에이콘출판사,2019-10-31,oracle.jpg,1
생각이 바뀌는 순간,캐서린 A,"14,400 ","‘생각을 통제할 것인가, 통제당할 것인가?’
당신은 무엇을 선택할 것인가
매사추세츠대 심리학과 교수가 최신 연구 사례로 밝혀낸 직관의 힘

프린스턴대학교에 재학 중이던 BJ 밀러는 술을 마시고 전기셔틀 기차에 올랐다가 큰 사고를 당한다. 이 사고로 그는 두 다리와 한 팔을 절단하는 수술을 했고, 큰 후유증까지 얻었다. 한순간에 혼자서는 일어설 수도, 걸을 수도 없게 된 밀러는 자신에게 찾아온 불행에 절망하는 대신, 지금 자신이 할 수 있는 일을 찾아 그것을 삶의 목표로 삼기로 결심한다. 치료를 마친 그는 이듬해 패럴림픽에 배구팀 국가대표로 출전했고, 이후 자신과 같은 사고를 당한 사람들을 위한 완화치료전문가가 되었으며, TED와 같은 수많은 강연장에 서며 자신의 감동적인 스토리를 전하고 있다.

절망적인 순간, 밀러를 일으켜 세운 원동력은 무엇이었을까? 오랫동안 긍정 심리에 대해 연구해온 캐서린 샌더슨 교수는 그 비밀이 직관에 있다고 말한다. 불편함, 곤란한 상황, 인생의 일부인 이러한 크고 작은 사건 사고들은 예기치 못하게 찾아오지만, 그런 통제 불가능한 상황에 대비하기 위해 우리의 뇌가 직관적으로 판단을 내리고 행동을 하게끔 한 것이다. 바로 사건이나 문제를 바라보는 우리의 사고방식을 통제할 수 있다면, 우리의 삶을 자기 자신이 생각하는 방향으로 변화시킬 수 있다.

이 책 『생각이 바뀌는 순간』은 밀러와 같은 비극적인 사건뿐만 아니라 우리의 일상 작은 고민 속에서도 긍정적인 직관은 강력한 힘을 발휘한다고 이야기한다. 매번 실패하는 다이어트, 더딘 성과, 꼬인 인간관계, 그 안에서 직관이 어떻게 발동하고, 어떤 식으로 생성되는지에 대해 알면, 반대로 이러한 직관을 활용하여 내가 원하는 방향으로 상황과 인생을 바꿀 수 있을 것이다.",한국경제신문사(한경비피),2019-10-11,think.jpg,2
뻘짓은 나만 하는 줄 알았어,피터 홀린스,"13,500 ","미국에서 주목받는 신세대 심리학자이며, 베스트셀러 『혼자 있고 싶은데 외로운 건 싫어』의 저자인 피터 홀린스의 경쾌한 신작이 나왔다. ‘뻘짓’이라는 단어에는 양면성이 있다. 긍정적인 측면은 호기심과 도전으로 연결되고, 부정적인 측면은 시간낭비와 시행착오를 연상시킨다. 따라서, 어떤 이는 자신의 경험과 도전을 ‘뻘짓’이라 표현하고, 또 어떤 이는 자신의 시행착오를 ‘뻘짓’이라 표현한다. 당신은 어떠한가? 전자인가, 후자인가? 하지만 어느 쪽이든 그동안 내가 해 온 모든 뻘짓이 오늘의 나를 만든 것은 틀림없다.

무한 반복되는 바보 인증과 뻘짓의 배후에 대한 우리의 의문을 풀어준다! 알면서도 하고 몰라서도 하는, 어쨌든 우리가 평생 반복하는 ‘뻘짓’ 과 ‘바보짓’에 대해 심리학적으로 들여다 본 이 책을 통해 우리는 자신의 바보짓에 대해 우울해할 필요가 없다는 논리적 결론을 얻는다. 이제 우리의 뻘짓에도 특정한 이유가 있다는 걸 알게 되니 자책할 필요 없어 안도감이 든다. “내 탓이 아닌데 어쩔 거야!‘ 우리의 뻘짓은 뇌의 균형를 유지시켜주는 기특한 행동이라는 것을, 심리학과 뇌과학의 중간적 시각에서 흥미롭게 보여준다.",명진서가,2019-06-28,doing.jpg,2
괜찮아지는 심리학,팀 보노,"15,120 ","무기력한 하루에서 벗어나
스스로 통제하는 삶을 만드는 심리학의 힘
전미 돌풍을 일으킨 긍정심리학 강의

어제와 다름없는 괜찮은 일상을 보내는 와중에도 우리에게 일시적으로 우울감이 찾아온다. 그동안 꾸준한 공황 상태를 겪고 있음을 고백하는 주변인들을 발견하기도 한다. 지금 세대는 모바일 환경에 다른 어느 세대보다 능숙하고 더 빠르게 소통하고 모든 정보 습득의 창구도 그 안에서 해결하고 있다. 일상의 매 순간이 휴대폰을 통해 이어져 있어 페이스북이나 인스타그램에 올리는 단편적인 이미지와 그에 즉각 반응하는 덧글과 ‘좋아요’ 개수가 행복의 척도에 영향을 끼친다.

십여 년간 워싱턴대학교 정신건강센터에서 의대생과 신입생의 정신건강을 돌봐온 팀 보노 박사는 모바일 환경이 주는 혜택과 장점에도 불구하고, 개인의 행복을 위해서는 SNS를 통한 관계 맺기가 도움이 될 수 없다고 말한다. 『괜찮아지는 심리학』은 긍정심리학을 연구해 온 저자의 연구 기록과 상담사례, 그리고 다양한 심리학 기반의 명저에서 제시하는 해법을 바탕으로 우리에게 풍부한 선택지를 제공한다. 이제 우리가 순간순간 불현듯 겪는 불안감, 우울, 무력감에서 벗어나 이 책에 나온 열 가지 구체적 해법으로 어제보다 더 즐거운 삶에 몰입하자.",알에이치코리아(RHK),2019-10-14,fine.jpg,2
사서함 110호의 우편물,이도우,"11,700 ","“네 사랑이 무사하기를, 내 사랑도 무사하니까”
20만 독자들에게 친구가 되어준, 늘 곁에 두고 싶은 이야기

‘다시 한 번 사랑해보기로 한’ 모든 이를 향한 따뜻한 시선
한결같이 독자들의 마음을 설레게 한 롱 스테디셀러

2004년 발표된 이래 수많은 독자들의 뜨거운 지지와 입소문으로 변함없이 사랑받고 있는 롱 스테디셀러 《사서함 110호의 우편물》이 13주년을 맞아 새롭게 출간되었다. “처음 읽었을 때와 지금의 감상이 다른, 언제까지나 내 책장에 있을 책”, “나의 연인과 같은 책” 등 독자들의 진심 어린 찬사를 받으며 수많은 명대사 명장면을 탄생시킨 이 이야기는, 연애소설의 공식과 한계를 뛰어넘어 평생 함께할 친구 같은 작품으로 손꼽히고 있다.

30대 초중반, 어느덧 익숙해진 평범한 일상 속에서 사랑에 대한 설렘을 마음 한 자락 조용히 접어버린 이들의 이야기를 조금 느리게 그려낸 《사서함 110호의 우편물》에는 우리와 크게 다르지 않은, 적당히 외로워하며 살아가는 그들이 있다. 성숙한 어른이라는 겉보기와 달리 약점도 단점도 여전히 많은 그들에게 사랑은 흔해빠진 감정이고 때로는 부질없어서 환멸이 느껴질 때도 있다. 그럼에도 불구하고 ‘다시 한 번 사랑해보기로 한’ 그들의 이야기를 담담하면서도 깊이 있는 문장으로 담아내어, 삶 속에서 어떤 것들은 포기할 수밖에 없는 우리를 위로해주고 있다. 독자들에 의해 《사서함 110호의 우편물》 중 가장 유명한 문장이 되어버린 “네 사랑이 무사하기를, 내 사랑도 무사하니까”로 끊임없이 회자되는 이 작품은, 10년이 넘는 시간이 지났음에도 여전히 다양한 세대의 독자들에게 공감과 사랑을 받으며 꾸준히 읽히고 있다.",시공사,2016-03-18,110.jpg,3
아몬드,손원평,"10,800 ","공감 불능 사회, 차가움을 녹이는 아몬드
매혹적인 문체, 독특한 캐릭터, 속도감 넘치는 전개!
“고통과 공감의 능력을 깨우치게 할 강력한 소설”

영화보다 강렬하고 드라마처럼 팽팽한, 완전히 새로운 소설이 나타났다. ‘감정을 느끼지 못하는’ 소년의 특별한 성장 이야기로, 첫 장부터 강렬한 사건으로 시작해 다음 페이지가 궁금해지게 만드는 흡입력 강한 작품이다. 또한 타인의 감정에 무감각해진 ‘공감 불능’인 이 시대에 큰 울림을 주는 소설로, 작품 속 인물들이 타인과 관계 맺고 슬픔에 공감하며 성장해 나가는 과정을 탁월하게 묘사했다. 영화처럼 펼쳐지는 극적인 사건과 매혹적인 문체로 독자를 단숨에 사로잡을 것이다. 『완득이』 『위저드 베이커리』를 잇는 제10회 창비청소년문학상 수상작.

『아몬드』의 주인공 ‘윤재’는 감정을 느끼는 데 어려움을 겪는 독특한 캐릭터다. 다른 사람의 말과 행동의 이면을 읽어 내지 못하고 공포도 분노도 잘 느끼지 못하는 윤재는 ‘평범하게’ 살아가려고 가까스로 버텨 오고 있다. 엄마에게서 남이 웃으면 따라 웃고, 호의를 보이면 고맙다고 말하는 식의 ‘주입식’ 감정 교육을 받기도 한다. 세상을 곧이곧대로만 보는 아이, ‘괴물’이라고 손가락질받던 윤재는 어느 날 비극적인 사건을 맞아 가족을 잃게 되면서 이 세상에 홀로 남는다.

그런데 모든 것을 잃었다고 생각하던 순간에 윤재 곁에 새로운 인연이 다가온다. 어두운 상처를 간직한 아이 ‘곤이’나 그와 반대로 맑은 감성을 지닌 아이 ‘도라’, 윤재를 돕고 싶어 하는 ‘심 박사’ 등이 그러한 인물들이다. 윤재와 이들 사이에서 펼쳐지는 이야기는 우리로 하여금 타인의 감정을 이해한다는 것이 얼마나 어려운지, 그럼에도 얼마나 소중한 일인지 다시 한번 생각해 보게 한다. 상실을 애도할 시간, 감정을 보듬을 여유를 잃어버린 채 살고 있는 독자들은 윤재를 응원하면서 자신의 마음 또한 되돌아볼 기회를 얻을 것이다. 윤재의 덤덤한 어조는 역설적으로 읽는 이의 가슴을 더욱 슬프게 저미며, 독자는 이 작품을 통해 깊고 진실한 감정의 고양을 경험할 수 있을 것이다.",창비,2017-03-31,armond.jpg,3
어린 왕자,생 텍쥐페리,"8,820 ","전 세계가 사랑하는 가장 아름다운 이야기, 생텍쥐페리의 『어린 왕자』가 문학 평론가 황현산 선생의 번역으로 열린책들에서 출간되었다. 프랑스어 원문에 대한 섬세한 이해, 정확하고도 아름다운 문장력, 예리한 문학적 통찰을 고루 갖춘 번역으로 문학 번역에서 큰 입지를 굳혀 온 황현산 선생은 이 작품을 새롭게 번역하면서 생텍쥐페리의 진솔한 문체를 고스란히 살려 내기 위해 심혈을 기울였다. 원문 텍스트 선택부터 번역의 마무리 작업까지, 국내에 출간된 많은 [어린 왕자] 중에서도 특히 원전의 가치를 충실히 살린 한국어 결정판을 마련하고자 했다. 다른 별에서 온 어린 왕자의 순수한 시선으로 모순된 어른들의 세계를 비추는 이 소설은, 꾸밈없는 진솔한 문체와 동화처럼 단순해 보이는 이야기 속에 삶을 돌아보는 깊은 성찰을 아름다운 은유로 녹여 낸 작품이다. [어린 왕자]를 다시 읽을 때마다 우리는 삶에서 가장 중요한 것들, 그러나 잊히거나 상실된 것들, [눈에 보이지 않는] 것들을 돌아보는 자리로 돌아오게 된다. 어린 시절 읽었던 이 작품을 보다 새롭고 완성도 높은 번역으로 다시 한 번 음미하며 읽어 볼 때다.",열린책들,2015-10-20,prince.jpg,3
당신의 계절을 걸어요,청춘유리,"13,500 ","11년간 65개국 500개 도시를 누빈
여행 작가 청춘유리가 전하는 가장 아름다운 나날들

떠났기 때문에 마주할 수 있었던, 무수히 많은 장면과 마음에 대하여

인스타그램과 페이스북을 통해 수많은 사람들에게 두근거림을 선사하는 여행 작가이자 가장 주목 받고 있는 여행 크리에이터, 청춘유리가 3년 만에 신간 『당신의 계절을 걸어요』를 선보인다. 베스트셀러 『오늘은 이 바람만 느껴줘』 출간 이후 그녀에게 여행은 단순한 휴식이 아닌 삶의 일부이자 일이 되었지만, 여행이 주는 자유와 낭만을 마음껏 누리고 그 선물 같은 시간을 소중하게 생각하는 마음은 여전하다. 더 많은 곳을, 더 오래도록 누빈 만큼 한층 깊어진 이야기를 이 책을 통해 만날 수 있다.

스페인, 포르투갈, 스위스, 헝가리, 베트남, 인도네시아, 인도, 네팔, 파키스탄, 볼리비아, 멕시코, 바하마, 탄자니아 등 대륙과 육해공을 넘나들며 겪은 다양한 에피소드부터 눈과 마음을 모두 사로잡을 만큼 멋진 도시의 모습과 푸르른 자연의 광경, 잊을 수 없는 인연은 물론 여행을 다니며 느낀 섬세한 감정과 생각도 솔직하게 담았다. 여기에 저자 특유의 감수성과 독특한 분위기가 고스란히 묻어나는 사진을 보다 보면 어디론가 훌쩍 떠나고 싶어지게 된다. 여행과 삶을 사랑스럽고 행복하게 그려냈기에 또 다른 세상을 꿈꾸는 이에게도 설렘이 고스란히 전해진다.",알에이치코리아(RHK),2019-07-22,season.jpg,4
